model,feature_kind,pca_components,tune_auc,n,positive_n,auc,auc_ci_low,auc_ci_high,ap,ap_ci_low,ap_ci_high,brier,balanced_accuracy,f1,sensitivity,specificity,threshold,tp,fp,tn,fn
prior_current_temporal_pixels,temporal,256,0.6512477516164055,5341,1199,0.6596797830479206,0.6419409906244568,0.6762603882702121,0.3488404244344582,0.3258045084612046,0.375238762933117,0.2300728283553058,0.6165664369430666,0.419481981981982,0.6213511259382819,0.6117817479478512,0.4937226084291892,745,1608,2534,454
difference_only_pixels,difference,128,0.6544206057266939,5341,1199,0.6541909421540323,0.636001071285939,0.6710147377166412,0.3481922312288585,0.3229688203108984,0.3750065276362683,0.2310237664726248,0.6086760897238928,0.4162188568637029,0.7105921601334445,0.5067600193143409,0.4564056728457991,852,2043,2099,347
current_only_pixels,current,128,0.577958548719029,5341,1199,0.5838987825441209,0.5640826536186665,0.6012896118337916,0.2843366078095352,0.2650126354615547,0.3084013327227089,0.2457080617432714,0.5559896404898819,0.3335664335664335,0.3978315262718932,0.7141477547078706,0.5456164246742781,477,1184,2958,722
