model,n,positive_n,auc,auc_ci_low,auc_ci_high,ap,ap_ci_low,ap_ci_high,brier,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,f1,f1_ci_low,f1_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,threshold,tp,fp,tn,fn
current_only_pixels,500,150,0.6433904761904763,0.5927267627183476,0.6958186646814667,0.4335276921816238,0.3660621515760495,0.5194119466411603,0.233087250689068,0.5666666666666667,0.5220636681913206,0.6107239455643306,0.3862068965517241,0.3139931740614334,0.4557848139255702,0.3733333333333333,0.2941176470588235,0.4503404533159219,0.76,0.7147234752796824,0.8038687574477305,0.5456164246742781,56,84,266,94
difference_only_pixels,500,150,0.767847619047619,0.7217666053802351,0.8105283329649574,0.6153879781200234,0.5364519924113217,0.6965409410400253,0.20406945238204,0.6633333333333333,0.620805086912191,0.7040498870204435,0.5501165501165501,0.4913983575273898,0.6055117386240575,0.7866666666666666,0.7189542483660131,0.8506493506493507,0.54,0.4876015887914653,0.5890804597701149,0.4564056728457991,118,161,189,32
prior_current_temporal_pixels,500,150,0.8085333333333333,0.7675799216395419,0.8461966882731258,0.6261210924278133,0.5434054235566915,0.7077094639022471,0.1936362018011043,0.72,0.676108061432546,0.7625774949163207,0.6065573770491803,0.5444117597192316,0.6648648648648648,0.74,0.6666666666666666,0.8091615608678184,0.7,0.6519306237399776,0.7485384342358786,0.4937226084291892,111,105,245,39
